ANNEE12;SHBO;SMICBM;SMICNM;PLFB;PLFN;SNAM_TC;SNAM_EQTP
2000;100.0;100.0;100.0;100.0;100.0;100;100
2001;102.6;102.0;102.1;100.1;100.2;100.4;100.7
2002;104.4;103.2;103.4;101.3;101.5;100.8;100.8
2003;105.2;105.0;104.8;102.6;102.4;100.6;100.9
2004;105.9;108.6;108.3;102.3;102.0;100.6;101
2005;107.2;112.7;112.2;102.1;101.6;101.7;102
2006;108.7;115.5;114.8;103.3;102.7;101.7;102.2
2007;110.1;116.7;116.0;105.5;104.9;103.4;103.9
2008;110.3;116.9;116.3;106.1;105.5;103.8;104.2
2009;113.0;119.0;118.3;109.3;108.6;105.1;105.5
2010;113.4;118.5;117.8;108.6;108.0;105.7;106
2011;113.4;118.0;117.4;108.6;108.0;106;106.4
2012;113.7;119.6;118.7;109.6;108.8;105.5;105.9
2013;114.8;120.1;119.1;110.6;109.7;105.3;105.7
2014;115.9;120.7;119.3;111.6;110.3;105.8;106.2
2015;117.3;121.7;120.1;113.0;111.5;107;107.4
2016;118.5;122.2;120.4;114.5;112.9;107.3;107.9
2017;118.7;122.1;120.2;115.1;113.4;108.6;108.8
2018;118.2;121.4;120.7;114.5;113.9;108.9;109.2
2019;119.0;121.9;122.1;115.5;115.8;nd;nd
2020;120.3;122.7;123.0;116.7;117.0;nd;nd
