ANNEE13;SHBO;SMICBM;SMICNM;PLFB;PLFN;SNAM_TC
1951;100.0;100.0;100.0;100.0;100.0;100.0
1952;103.1;100.0;100.0;114.7;114.7;105.1
1953;106.6;101.0;101.0;118.9;118.9;108.6
1954;113.2;116.5;116.5;118.9;118.9;118.7
1955;121.0;124.9;124.9;122.5;122.5;130.0
1956;129.2;123.8;123.8;134.0;134.0;141.1
1957;136.1;123.6;123.6;130.5;130.5;151.8
1958;131.8;121.1;121.1;128.2;128.2;146.1
1959;131.7;121.8;121.6;133.0;132.7;146.6
1960;136.0;121.4;121.2;133.2;132.9;155.8
1961;141.5;119.8;119.5;152.5;152.2;162.7
1962;147.0;120.2;118.8;172.8;170.9;170.7
1963;153.5;123.1;121.8;180.0;178.0;179.8
1964;159.0;122.1;120.7;189.7;187.6;184.7
1965;164.8;124.4;123.0;199.1;196.9;191.4
1966;169.7;125.8;124.4;204.9;202.6;197.7
1967;174.6;126.6;125.0;210.4;207.8;202.6
1968;187.3;153.1;149.6;212.3;207.4;213.8
1969;195.2;170.0;166.1;226.6;221.3;223.0
1970;203.9;174.2;170.2;237.1;231.6;231.4
1971;214.0;181.6;177.4;247.0;241.2;242.9
1972;224.3;190.7;186.1;258.2;252.0;252.0
1973;238.1;209.9;204.7;268.0;261.3;263.1
1974;249.1;227.1;221.3;267.8;260.9;271.1
1975;262.1;242.9;236.0;284.7;276.6;278.5
1976;273.5;253.4;243.5;297.4;285.8;293.2
1977;282.7;261.8;250.2;311.4;297.7;296.4
1978;291.7;270.8;258.5;316.3;301.9;307.7
1979;297.0;274.6;256.6;318.7;297.8;301.3
1980;302.0;280.0;259.7;315.0;292.2;302.5
1981;306.2;291.6;270.2;317.7;294.4;301.8
1982;316.2;299.2;277.0;338.9;313.7;307.1
1983;320.6;306.0;281.1;345.6;317.4;309.7
1984;321.1;311.8;281.3;349.5;315.3;308.9
1985;321.5;318.6;286.6;354.0;318.3;312.7
1986;326.4;323.6;290.1;362.4;324.9;320.8
1987;327.0;326.4;290.0;365.9;325.0;319.6
1988;329.2;326.6;288.4;367.1;324.2;320.3
1989;330.4;328.4;286.5;368.8;321.7;322.8
1990;335.5;331.3;289.1;373.1;325.7;328.6
1991;339.6;336.4;292.5;379.9;330.3;329.5
1992;345.3;341.8;294.4;388.5;334.5;330.5
1993;347.2;343.4;292.1;395.5;336.4;331.5
1994;349.5;345.2;290.3;397.7;334.4;331.3
1995;351.2;349.1;293.6;397.5;334.2;334.0
1996;352.9;354.6;295.6;402.9;335.9;332.3
1997;358.5;360.7;301.8;406.7;340.2;335.3
1998;364.0;369.1;311.2;415.0;349.8;338.9
1999;370.6;373.2;313.6;424.0;356.3;344.3
2000;383.1;375.5;315.5;423.7;356.1;346.1
2001;393.1;382.9;322.2;424.0;356.8;347.6
2002;399.9;387.6;326.4;429.1;361.3;348.8
2003;403.2;394.4;330.7;434.8;364.5;348.1
2004;405.8;407.7;341.8;433.4;363.4;348.3
2005;410.5;423.0;353.9;432.4;361.8;351.9
