ANNEE12;DUREE;SMICBH;SMICBM;SMICBA;SMICNH;SMICNM;SMICNA;COUT_SMICM;COUT_SMICA
2000;151.7;6.3;957.0;11484.2;5.0;756.0;9071.4;1098.2;13178.7
2001;151.7;6.5;991.9;11902.8;5.2;784.6;9415.1;1135.1;13621.6
2002;151.7;6.8;1023.8;12285.0;5.3;810.3;9723.6;1172.7;14072.5
2003;151.7;7.0;1063.2;12758.2;5.5;837.8;10053.5;1223.0;14676.2
2004;151.7;7.4;1122.3;13468.0;5.8;884.4;10612.8;1295.3;15543.4
2005;151.7;7.8;1186.0;14232.4;6.2;932.7;11192.4;1370.4;16444.8
2006;151.7;8.2;1236.1;14833.0;6.4;970.3;11643.9;1428.5;17142.5
2007;151.7;8.4;1267.2;15206.1;6.6;995.2;11942.9;1463.3;17560.0
2008;151.7;8.6;1305.3;15664.1;6.8;1025.2;12302.6;1507.1;18085.0
2009;151.7;8.8;1329.4;15952.3;6.9;1044.1;12528.9;1536.5;18437.7
2010;151.7;8.9;1343.8;16125.2;7.0;1055.4;12664.7;1555.1;18661.7
2011;151.7;9.0;1367.4;16408.8;7.1;1074.0;12887.5;1581.5;18977.6
2012;151.7;9.3;1412.0;16944.2;7.3;1107.3;13288.2;1633.0;19595.4
2013;151.7;9.4;1430.2;17162.6;7.4;1120.4;13445.2;1655.2;19862.3
2014;151.7;9.5;1445.4;17344.6;7.4;1128.7;13544.4;1674.6;20095.5
2015;151.7;9.6;1457.5;17490.2;7.5;1136.0;13631.9;1645.5;19745.7
2016;151.7;9.7;1466.6;17599.4;7.5;1141.6;13699.4;1646.2;19754.6
2017;151.7;9.8;1480.3;17763.2;7.6;1151.5;13818.0;1660.8;19929.2
2018;151.7;9.9;1498.5;17981.6;7.8;1177.2;14125.9;1681.2;20174.6
2019;151.7;10.0;1521.2;18254.6;7.9;1204.2;14450.3;1602.3;19228.2
2020;151.7;10.2;1539.4;18473.0;8.0;1218.6;14623.2;1574.8;18897.1
